id,kannada_text,english_translation,category,confidence_score,language_pattern,factual_consistency,source_credibility,analysis_notes
1,ಕರ್ನಾಟಕ ಸರ್ಕಾರ ಶಿಕ್ಷಣ ಕ್ಷೇತ್ರಕ್ಕೆ ೫೦೦ ಕೋಟಿ ರೂಪಾಯಿ ಹೂಡಿಕೆ ಘೋಷಿಸಿದೆ,Karnataka government announces 500 crore rupees investment in education sector,Real,0.95,formal,high,high,Government announcement from official sources
2,ಬೆಂಗಳೂರಿನ ಮೇಯರ್ ಅವರು ಸೋಮವಾರ ರಾತ್ರಿ ಯೋಗಾಭ್ಯಾಸ ಮಾಡುತ್ತಾರೆ ಎಂದು ಹೇಳಿಕೆ,Bangalore Mayor statement about practicing yoga on Monday nights,Misleading,0.65,informal,medium,medium,Unverified personal statement without official confirmation
3,ಕರ್ನಾಟಕದಲ್ಲಿ ಸಿಂಹ ಮನುಷ್ಯನನ್ನು ಹೋರಾಡಿ ಸಾಯಿಸಿದೆ ಎಂಬ ಸುದ್ದಿ ಸುಳ್ಳು ಎಂದು ಸಾಬೀತಾಗಿದೆ,News about lion attacking a human in Karnataka has been proven false,Fake,0.15,sensational,low,low,Completely fabricated story with no factual basis
4,ಭಾರತೀಯ ರೈಲ್ವೆ ಹೊಸ ಟ್ರೈನ್ ಸೇವೆ ಬೆಂಗಳೂರು-ಮೈಸೂರು ಮಾರ್ಗದಲ್ಲಿ ಪ್ರಾರಂಭ ಮಾಡಿದೆ,Indian Railways launches new train service on Bangalore-Mysore route,Real,0.92,formal,high,high,Verified from official railway announcements
5,ಕರ್ನಾಟಕ ಮುಖ್ಯಮಂತ್ರಿ ಅವರು ಕಾಲ್ಪನಿಕ ಬಿಕ್ಕಟ್ಟಿನಿಂದ ಹೊರಬಂದಿದ್ದಾರೆ ಎಂಬ ಸುದ್ದಿ,News about Karnataka Chief Minister recovering from fictional crisis,Fake,0.10,fabricated,low,low,Completely made-up story with no credible sources
6,ಬೆಂಗಳೂರು ಮೆಟ್ರೋ ಸಂಸ್ಥೆ ಹೊಸ ಮೆಟ್ರೋ ಲೈನ್ ನಿರ್ಮಾಣಕ್ಕೆ ಅನುಮತಿ ಪಡೆದಿದೆ,Bangalore Metro authority gets approval for new metro line construction,Real,0.88,official,high,high,Confirmed from official metro authority sources
7,ಮಲೇಶಿಯಾದಲ್ಲಿ ಕನ್ನಡಿಗರಿಗೆ ವಿಶೇಷ ಸೌಲಭ್ಯ ಘೋಷಿಸಿದೆ ಎಂದು ಕೆಲವು ವೆಬ್‌ಸೈಟ್‌ಗಳು ಹೇಳುತ್ತಿವೆ,Some websites claim Malaysia announces special facilities for Kannadigas,Misleading,0.55,vague,medium,low,Unverified claims from unreliable sources
8,ಕರ್ನಾಟಕ ಸರ್ಕಾರ ಕೃಷಿ ಕ್ಷೇತ್ರಕ್ಕೆ ಹೊಸ ನೀತಿ ಘೋಷಿಸಿದೆ ಮತ್ತು ರೈತರಿಗೆ ಸಹಾಯ ಹೆಚ್ಚಿಸಿದೆ,Karnataka government announces new agricultural policy and increases farmer support,Real,0.90,policy,high,high,Verified from government official channels
9,ಬೆಂಗಳೂರಿನ ಅಂತರ್ರಾಷ್ಟ್ರೀಯ ವಿಮಾನ ನಿಲ್ದಾಣ ಮುಚ್ಚುವ ಸಾಧ್ಯತೆ ಇದೆ ಎಂದು ಅಜ್ಞಾತ ಮೂಲ ಹೇಳುತ್ತಿದೆ,Unknown source claims Bangalore airport might close,Fake,0.08,sensational,low,very_low,Completely false claim from unreliable source
10,ಕನ್ನಡ ಭಾಷೆ ಯುನೆಸ್ಕೋ ಸಾಂಸ್ಕೃತಿಕ ಪರಿವಿಕ್ಷೆ ಸೂಚಿಯಲ್ಲಿ ಸೇರಿಸಲ್ಪಟ್ಟಿದೆ,Kannada language included in UNESCO cultural heritage list,Real,0.93,cultural,high,high,Verified from UNESCO official records
